"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"2071","This cache has been ""temporarily unavailable"" for more than %1 months now; therefore it is being archived automatically. The owner may decide to maintain the cache and re-enable the listing.","","Dieser Cache ist seit mehr als %1 Monaten &bdquo;momentan nicht verfügbar&ldquo;; daher wird er automatisch archiviert. Er kann vom Besitzer jederzeit instand gesetzt und reaktiviert werden.","This cache has been ""temporarily unavailable"" for more than %1 months now; therefore it is being archived automatically. The owner may decide to maintain the cache and re-enable the listing.","This cache has been ""temporarily unavailable"" for more than %1 months now; therefore it is being archived automatically. The owner may decide to maintain the cache and re-enable the listing.","Este caché ha estado ""temporalmente no disponible"" por más de %1 meses hasta ahora; por lo tanto, está siendo archivado automaticamente. El propietario puede decidir mantener el caché y rehabilitar el listado.","","This cache has been ""temporarily unavailable"" for more than %1 months now; therefore it is being archived automatically. The owner may decide to maintain the cache and re-enable the listing.",""
"2072","This event took place more than five weeks ago; therefore it is being archived automatically. The owner may re-enable the listing if it should stay active for some exceptional reason.","","Dieses Event fand vor über fünf Wochen statt; daher wird es automatisch archiviert. Das Listing kann vom Owner selbst reaktiviert werden, falls es aus besonderen Gründen weiter aktiv bleiben soll.","This event took place more than five weeks ago; therefore it is being archived automatically. The owner may re-enable the listing if it should stay active for some exceptional reason.","This event took place more than five weeks ago; therefore it is being archived automatically. The owner may re-enable the listing if it should stay active for some exceptional reason.","Este evento tuvo lugar hace más de cinco semanas; por lo tanto está siendo archivado automaticamente. El propietario puede rehabilitarlo si debiera estar activo por alguna razón excepcional.","","This event took place more than five weeks ago; therefore it is being archived automatically. The owner may re-enable the listing if it should stay active for some exceptional reason.",""
"2073","This user account is disabled.","75:./templates2/ocstyle/adoptcache.tpl","Dieser Benutzer ist deaktiviert.","This user account is disabled.","This user account is disabled.","This user account is disabled.","","This user account is disabled.",""
"2074","Adoptions","149:./templates2/ocstyle/adminhistory.tpl","Adoptionen","Adoptions","Adoptions","Adoptions","","Adoptions",""
"2075","since September 2012","149:./templates2/ocstyle/adminhistory.tpl","seit September 2012","since September 2012","since September 2012","since September 2012","","since September 2012",""
"2076","From Owner","157:./templates2/ocstyle/adminhistory.tpl","Alter Besitzer","From Owner","From Owner","From Owner","","From Owner",""
"2077","To Owner","159:./templates2/ocstyle/adminhistory.tpl","Neuer Besitzer","To Owner","To Owner","To Owner","","To Owner",""
"2078","Maintenance","21:./templates2/ocstyle/res_logentry.tpl","Wartung","Maintenance","Maintenance","Maintenance","","Maintenance",""
"2079","Show details","135:./templates2/ocstyle/myhome.tpl","Details anzeigen","Show details","Toon details","Show details","","Show details",""
"2080","only active caches","135:./templates2/ocstyle/myhome.tpl","nur aktive Caches","only active caches","alleen actieve caches","only active caches","","only active caches",""
"2081","Finds","","Funde","Finds","Gevonden","Hallazgos","","Finds",""
"2083","NEW","","NEU","NEW","NIEUW","NUEVO","","NEW",""
"2084","show archived","150:./templates2/ocstyle/myhome.tpl","archivierte einblenden","show archived","toon gearchiveerde","show archived","","show archived",""
"2085","hide archived","150:./templates2/ocstyle/myhome.tpl","archivierte ausblenden","hide archived","hide archived","hide archived","","hide archived",""
"2086","unknown search type","14:./templates2/ocstyle/search.tpl.inc.php","unbekannter Suchtyp","unknown search type","unknown search type","unknown search type","","unknown search type",""
"2087","Show on map","66:./templates2/ocstyle/search.result.caches.tpl","auf Karte anzeigen","Show on map","Toon op kaart","Show on map","","Show on map",""
"2088","Search options","2369:./templates2/ocstyle/map2.tpl","Suchoptionen","Search options","Zoekopties","Search options","","Search options",""
"2089","disabled","2514:./templates2/ocstyle/map2.tpl","deaktivierte","disabled","disabled","disabled","","disabled",""
"2090","archived","2508:./templates2/ocstyle/map2.tpl","archivierte","archived","archived","archived","","archived",""
"2091","Test for and fix inconsistencies in database tables","18:./templates2/ocstyle/dbmaintain.tpl","Sucht und behebt Inkonsistenzen in Datenbanktabellen","Test for and fix inconsistencies in database tables","Test for and fix inconsistencies in database tables","Test for and fix inconsistencies in database tables","","Test for and fix inconsistencies in database tables",""
"2092","You submitted more than %1 identical logs. Please make sure that you are entering the date of your cache visit, not the current date - also when ""late logging"" old finds.","196:./templates2/ocstyle/log_cache.tpl","Du hast bereits mehr als %1 identische Logs eingetragen. Bitte überprüfe, ob du das Datum deiner Cachesuchen eingibst, nicht das heutige Datum &ndash; auch beim &bdquo;Nachloggen&ldquo; alter Funde.","You submitted more than %1 identical logs. Please make sure that you are entering the date of your cache visit, not the current date - also when ""late logging"" old finds.","You submitted more than %1 identical logs. Please make sure that you are entering the date of your cache visit, not the current date - also when ""late logging"" old finds.","You submitted more than %1 identical logs. Please make sure that you are entering the date of your cache visit, not the current date - also when ""late logging"" old finds.","","You submitted more than %1 identical logs. Please make sure that you are entering the date of your cache visit, not the current date - also when ""late logging"" old finds.",""
"2093","Wrong log dates can impair several OC functions like searching by last log date. Also, the owner and other caches may think that the cache has been currently found (date and type of the last log are shown in the owner's caches list!), which can adversely affect cache maintenance and lead to more DNFs.","199:./templates2/ocstyle/log_cache.tpl","Ein falsches Logdatum kann verschiedene Funktionen der OC-Software beeinträchtigen, wie z.&nbsp;B. die Suchsortierung nach letzten Logdatum. Außerdem kann der Eindruck entstehen, der Cache sei kürzlich gefunden worden (Datum und Art des letzten Logs erscheinen in der Cacheübersicht des Owners!), was die Cachewartung beeinträchtigt und zu mehr DNF führen kann.","Wrong log dates can impair several OC functions like searching by last log date. Also, the owner and other caches may think that the cache has been currently found (date and type of the last log are shown in the owner's caches list!), which can adversely affect cache maintenance and lead to more DNFs.","Wrong log dates can impair several OC functions like searching by last log date. Also, the owner and other caches may think that the cache has been currently found (date and type of the last log are shown in the owner's caches list!), which can adversely affect cache maintenance and lead to more DNFs.","Wrong log dates can impair several OC functions like searching by last log date. Also, the owner and other caches may think that the cache has been currently found (date and type of the last log are shown in the owner's caches list!), which can adversely affect cache maintenance and lead to more DNFs.","","Wrong log dates can impair several OC functions like searching by last log date. Also, the owner and other caches may think that the cache has been currently found (date and type of the last log are shown in the owner's caches list!), which can adversely affect cache maintenance and lead to more DNFs.",""
"2094","You found %1 caches until now.","207:./templates2/ocstyle/log_cache.tpl","Du hast bis jetzt %1 Caches gefunden.","You found %1 caches until now.","Je hebt tot nu toe %1 caches gevonden.","You found %1 caches until now.","","You found %1 caches until now.",""
"2095","This log already exists - you tried to submit it twice!","","Dieses Log existiert bereits. Du hast versucht, es mehrfach abzusenden!","This log already exists - you tried to submit it twice!","This log already exists - you tried to submit it twice!","Este registro ya existe- ¡Intentaste enviarlo dos veces!","","This log already exists - you tried to submit it twice!",""
"2096","%2 has activated %1","169:./templates2/ocstyle/newlogs.tpl","%2 hat %1 aktiviert","%2 has activated %1","%2 has activated %1","%2 has activated %1","","%2 has activated %1",""
"2097","%1 has activated the geocache","43:./templates2/ocstyle/res_logentry_logitem.tpl","%1 hat den Geocache aktiviert","%1 has activated the geocache","%1 has activated the geocache","%1 has activated the geocache","","%1 has activated the geocache",""
"2098","converted from HTML","48:./templates2/ocstyle/search.tpl.inc.php","aus HTML konvertiert","converted from HTML","converted from HTML","converted from HTML","","converted from HTML",""
"2099","unknown search option","13:./templates2/ocstyle/search.tpl.inc.php","unbekannte Suchoption","unknown search option","unknown search option","unknown search option","","unknown search option",""
"2100","no coordinates available","32:./templates2/ocstyle/search.tpl.inc.php","keine Koordinaten verfügbar","no coordinates available","no coordinates available","no coordinates available","","no coordinates available",""
"2101","Alternatively, you can visit %1 and enter the following code manually:","23:./templates2/mail/register.tpl","Wahlweise kannst du auch auf %1 den folgenden Code von Hand eingeben:","Alternatively, you can visit %1 and enter the following code manually:","Alternatively, you can visit %1 and enter the following code manually:","Alternatively, you can visit %1 and enter the following code manually:","","Alternatively, you can visit %1 and enter the following code manually:",""
"2102","Before you can login for the first time, you have to activate your account by clicking on the following link:","19:./templates2/mail/register.tpl","Vor dem ersten Einloggen musst du auf folgenden Link klicken, um deinen Account zu aktivieren:","Before you can login for the first time, you have to activate your account by clicking on the following link:","Before you can login for the first time, you have to activate your account by clicking on the following link:","Before you can login for the first time, you have to activate your account by clicking on the following link:","","Before you can login for the first time, you have to activate your account by clicking on the following link:",""
"2103","Perimeter:","562:./templates2/ocstyle/search.tpl","Umkreis:","Perimeter:","Perimeter:","Perimeter:","","Perimeter:",""
"2104","from coordinates:","583:./templates2/ocstyle/search.tpl","von Koordinaten:","from coordinates:","from coordinates:","from coordinates:","","from coordinates:",""
"2105","Log entries","","Logeinträge","Log entries","Log entries","Entradas de registro","","Log entries",""
"2106","by user:","760:./templates2/ocstyle/search.tpl","von Benutzer:","by user:","by user:","by user:","","by user:",""
"2107","in","673:./templates2/ocstyle/search.tpl","in","in","in","in","","in",""
"2108","All caches","15:./templates2/ocstyle/newcaches.tpl","Alle Caches","All caches","Alle caches","All caches","","All caches",""
"2111","My caches","183:./lang/de/ocstyle/lib/menu.php","Meine Caches","My caches","Mijn caches","My caches","","My caches",""
"2112","Opencaching","0:table:sys_menu;field=menustring","Opencaching","Opencaching","Opencaching","Opencaching","","Opencaching",""
"2113","New Wiki articles","0:table:sys_menu;field=menustring","Neue Wiki-Artikel","New Wiki articles","Nieuwe Wiki artikelen","New Wiki articles","","New Wiki articles",""
"2114","Cardinal direction:","36:./templates2/ocstyle/search.result.caches.row.tpl","Himmelsrichtung:","Cardinal direction:","Cardinal direction:","Cardinal direction:","","Cardinal direction:",""
"2115","New features","0:table:sys_menu;field=menustring","Neue Features","New features","Nieuwe functies","New features","","New features",""
"2116","Also notify about newly marked %1OConly%2 caches.","122:./templates2/ocstyle/myprofile.tpl","auch über neu markierte %1OConly%2-Caches benachrichtigen","Also notify about newly marked %1OConly%2 caches.","Also notify about newly marked %1OConly%2 caches.","Also notify about newly marked %1OConly%2 caches.","","Also notify about newly marked %1OConly%2 caches.",""
"2117","Do not notify about newly marked %1OConly%2 caches.","130:./templates2/ocstyle/myprofile.tpl","nicht über neu markierte %1OConly%2-Caches benachrichtigen","Do not notify about newly marked %1OConly%2 caches.","Do not notify about newly marked %1OConly%2 caches.","Do not notify about newly marked %1OConly%2 caches.","","Do not notify about newly marked %1OConly%2 caches.",""
"2118","Notify about newly marked %1OConly%2 caches.","128:./templates2/ocstyle/myprofile.tpl","über neu markierte %1OConly%2-Caches benachrichtigen","Notify about newly marked %1OConly%2 caches.","Notify about newly marked %1OConly%2 caches.","Notify about newly marked %1OConly%2 caches.","","Notify about newly marked %1OConly%2 caches.",""
"2119","with recommendation","151:./templates2/ocstyle/myhome.tpl","mit Empfehlung","with recommendation","with recommendation","with recommendation","","with recommendation",""
"2121","You have given {curr} of {max} possible recommendations.","32:./lang/de/ocstyle/rating.inc.php","Du hast {curr} von {max} möglichen Empfehlungen abgegeben.","You have given {curr} of {max} possible recommendations.","You have given {curr} of {max} possible recommendations.","You have given {curr} of {max} possible recommendations.","","You have given {curr} of {max} possible recommendations.",""
"2122","You need {anzahl} more found log(s) to make another recommendation.","30:./lang/de/ocstyle/rating.inc.php","Du benötigst noch {anzahl} Fund(e), um eine weitere Empfehlung vorzunehmen.","You need {anzahl} more found log(s) to make another recommendation.","You need {anzahl} more found log(s) to make another recommendation.","You need {anzahl} more found log(s) to make another recommendation.","","You need {anzahl} more found log(s) to make another recommendation.",""
"2123","A recommendation can only be made within a ""found"" log!","24:./lang/de/ocstyle/rating.inc.php","Eine Empfehlung kann nur bei einem Gefunden-Logeintrag vorgenommen werden!","A recommendation can only be made within a ""found"" log!","A recommendation can only be made within a ""found"" log!","A recommendation can only be made within a ""found"" log!","","A recommendation can only be made within a ""found"" log!",""
"2125","Log pictures gallery","98:./templates2/ocstyle/adminuser.tpl","Logbildgalerie","Log pictures gallery","Log pictures gallery","Log pictures gallery","","Log pictures gallery",""
"2126","Log history","0:table:sys_menu;field=menustring","Loghistorie","Log history","Log history","Log history","","Log history",""
"2127","Log entries for caches of %1","","Logeinträge für Caches von %1","Log entries for caches of %1","Log entries for caches of %1","Entradas de registro para cachés de %1","","Log entries for caches of %1",""
"2128","Hide own logs","95:./templates2/ocstyle/newlogs.tpl","eigene Logs ausblenden","Hide own logs","Hide own logs","Hide own logs","","Hide own logs",""
"2129","Show own logs","97:./templates2/ocstyle/newlogs.tpl","eigene Logs einblenden","Show own logs","Toon eigen logs","Show own logs","","Show own logs",""
"2130","Log entries for your geocaches","12:./templates2/ocstyle/newlogs.tpl","Logeinträge für deine Caches","Log entries for your geocaches","Log entries for your geocaches","Log entries for your geocaches","","Log entries for your geocaches",""
"2131","When you have found a user who wants to adopt your geocache, fill in the username here and submit. The user will see this geocache in My Profile &gt; Adoptions. To complete the adoption, the user has to accept our terms of use and commit the adoption.","57:./templates2/ocstyle/adoptcache.tpl","Wenn du einen Benutzer gefunden hast, der deinen Geocache adoptieren möchte, trage bitte unten den Benutzername ein und bestätige den Vorgang. Dem Benutzer wird diesen Geocache dann unter Mein Profil &gt; Adoptionen angezeigt. Um die Adoption abzuschließen, muss der Benutzer die Nutzungsbedingungen von Opencaching.de akzeptieren und die Adoption bestätigen.","When you have found a user who wants to adopt your geocache, fill in the username here and submit. The user will see this geocache in My Profile &gt; Adoptions. To complete the adoption, the user has to accept our terms of use and commit the adoption.","When you have found a user who wants to adopt your geocache, fill in the username here and submit. The user will see this geocache in My Profile &gt; Adoptions. To complete the adoption, the user has to accept our terms of use and commit the adoption.","When you have found a user who wants to adopt your geocache, fill in the username here and submit. The user will see this geocache in My Profile &gt; Adoptions. To complete the adoption, the user has to accept our terms of use and commit the adoption.","","When you have found a user who wants to adopt your geocache, fill in the username here and submit. The user will see this geocache in My Profile &gt; Adoptions. To complete the adoption, the user has to accept our terms of use and commit the adoption.",""
"2132","You may offer this geocache to more than one user. The first user committing the adoption will become the new owner of this cache. With the adoption, you will grant to the committing user an unlimited right to use, modifiy, publish and sublicense content of this geocache.","61:./templates2/ocstyle/adoptcache.tpl","Du kannst einen Geocache mehreren Benutzern zur Adoption anbieten. Der erste Benutzer, der die Adoption bestätigt, wird der neue Besitzer des Geocaches. Mit der Adoption gibst du dem Benutzer ein unbeschränktes Recht, urheberrechtlich geschützte Inhalte dieses Geocaches zu nutzen, zu modifizieren und weiterzugeben.","You may offer this geocache to more than one user. The first user committing the adoption will become the new owner of this cache. With the adoption, you will grant to the committing user an unlimited right to use, modifiy, publish and sublicense content of this geocache.","You may offer this geocache to more than one user. The first user committing the adoption will become the new owner of this cache. With the adoption, you will grant to the committing user an unlimited right to use, modifiy, publish and sublicense content of this geocache.","You may offer this geocache to more than one user. The first user committing the adoption will become the new owner of this cache. With the adoption, you will grant to the committing user an unlimited right to use, modifiy, publish and sublicense content of this geocache.","","You may offer this geocache to more than one user. The first user committing the adoption will become the new owner of this cache. With the adoption, you will grant to the committing user an unlimited right to use, modifiy, publish and sublicense content of this geocache.",""
"2133","Copy EN","56:./templates2/ocstyle/translate.tpl","EN kopieren","Copy EN","Copy EN","Copy EN","","Copy EN",""
"2134","I know what I am doing, do not show this advice again today.","202:./templates2/ocstyle/log_cache.tpl","Ich weiß was ich tue &ndash; diesen Hinweis heute nicht mehr anzeigen.","I know what I am doing, do not show this advice again today.","I know what I am doing, do not show this advice again today.","I know what I am doing, do not show this advice again today.","","I know what I am doing, do not show this advice again today.",""
"2135","Show OConly-81 stats","0:table:profile_options;field=name","OConly-81-Statistik anzeigen","Show OConly-81 stats","Toon alleen OConly-81 statistieken","Show OConly-81 stats","","Show OConly-81 stats",""
"2136","OConly statistics","135:./templates2/ocstyle/viewprofile.tpl","OConly-Statistik","OConly statistics","OConly statistieken","OConly statistics","","OConly statistics",""
"2137","The user has found <b>%1</b> of <b>81</b> theoretically possible terrain/difficulty combinations.","54:./templates2/ocstyle/res_oconly81.tpl","Der Benutzer hat <b>%1</b> von <b>81</b> theoretisch möglichen Gelände/Schwierigkeit-Kombinationen gefunden.","The user has found <b>%1</b> of <b>81</b> theoretically possible terrain/difficulty combinations.","De gebruiker heeft <b>%1</b> van <b>81</b> theoretisch mogelijke terrein/moeilijkheid combinaties gevonden.","The user has found <b>%1</b> of <b>81</b> theoretically possible terrain/difficulty combinations.","","The user has found <b>%1</b> of <b>81</b> theoretically possible terrain/difficulty combinations.",""
"2139","OConly-81","9:./templates2/ocstyle/oconly81.tpl","OConly-81","OConly-81","OConly-81","OConly-81","","OConly-81",""
"2140","Users with OConly-81 statistics:","30:./templates2/ocstyle/oconly81.tpl","Benutzer mit OConly-81-Statistik:","Users with OConly-81 statistics:","Gebruikers met OConly-81 statistieken:","Users with OConly-81 statistics:","","Users with OConly-81 statistics:",""
"2141","OConly-81 statistics:","169:./templates2/ocstyle/viewprofile.tpl","OConly-81-Statistik:","OConly-81 statistics:","OConly-81 statistieken:","OConly-81 statistics:","","OConly-81 statistics:",""
"2142","inactive","","inaktiv","inactive","niet actief","inactivo","","inactive",""
"2143","<b>OConly-81</b> is a new challenge about finding OConly caches under varying conditions, i.e. with different difficulty and terrain ratings. To participate, you can enable the OConly-81 statistics in your <a href=""mydetails.php"">user profile settings</a>.","14:./templates2/ocstyle/oconly81.tpl","<b>OConly-81</b> ist eine sportliche Herausforderung bei der es darum geht, OC-Only-Caches unter den verschiedensten Bedingungen zu finden, d.&nbsp;h. mit verschiedenen Schwierigkeits- und Geländewertungen. Um mitzumachen, kannst du in deinen <a href=""mydetails.php"">Profileinstellungen</a> die OConly-81-Statistik aktivieren.","<b>OConly-81</b> is a new challenge about finding OConly caches under varying conditions, i.e. with different difficulty and terrain ratings. To participate, you can enable the OConly-81 statistics in your <a href=""mydetails.php"">user profile settings</a>.","<b>OConly-81</b> is a new challenge about finding OConly caches under varying conditions, i.e. with different difficulty and terrain ratings. To participate, you can enable the OConly-81 statistics in your <a href=""mydetails.php"">user profile settings</a>.","<b>OConly-81</b> is a new challenge about finding OConly caches under varying conditions, i.e. with different difficulty and terrain ratings. To participate, you can enable the OConly-81 statistics in your <a href=""mydetails.php"">user profile settings</a>.","","<b>OConly-81</b> is a new challenge about finding OConly caches under varying conditions, i.e. with different difficulty and terrain ratings. To participate, you can enable the OConly-81 statistics in your <a href=""mydetails.php"">user profile settings</a>.",""
"2144","Participants","22:./templates2/ocstyle/oconly81.tpl"," Teilnehmer","Participants","Deelnemers","Participants","","Participants",""
"2146","Statistics","48:./templates2/ocstyle/oconly81.tpl","Statistik","Statistics","Statistieken","Statistics","","Statistics",""
"2147","Overall terrain and difficulty distribution of active OConly caches:","53:./templates2/ocstyle/oconly81.tpl","Gelände- und Schwierigkeitsverteilung aller OConly-Caches:","Overall terrain and difficulty distribution of active OConly caches:","Overall terrain and difficulty distribution of active OConly caches:","Overall terrain and difficulty distribution of active OConly caches:","","Overall terrain and difficulty distribution of active OConly caches:",""
"2148","... by cache type:","20:./templates2/ocstyle/res_userstats.tpl","... nach Cachetyp:","... by cache type:","... per cachesoort:","... by cache type:","","... by cache type:",""
"2149","... by region:","57:./templates2/ocstyle/res_userstats.tpl","... nach Region:","... by region:","... per land:","... by region:","","... by region:",""
"2150","This geocache is probably placed within the following protection areas:","354:./templates2/ocstyle/viewcache_print.tpl","Dieser Geocache liegt vermutlich in den folgenden Schutzgebieten:","This geocache is probably placed within the following protection areas:","This geocache is probably placed within the following protection areas:","This geocache is probably placed within the following protection areas:","","This geocache is probably placed within the following protection areas:",""
"2151","Also listed as:","90:./templates2/ocstyle/viewcache_print.tpl","Auch gelistet als:","Also listed as:","Ook gepubliceerd op:","Also listed as:","","Also listed as:",""
"2152","Loading more log entries ...","41:./templates2/ocstyle/viewcache.tpl","Lade weitere Logeinträge ...","Loading more log entries ...","Loading more log entries ...","Loading more log entries ...","","Loading more log entries ...",""
"2153","Auto-load log entries","0:table:profile_options;field=name","Logeinträge automatisch nachladen","Auto-load log entries","Auto-load log entries","Auto-load log entries","","Auto-load log entries",""
"2155","Social media","279:./lang/de/ocstyle/main.tpl.php","Soziale Medien","Social media","Sociale media","Social media","","Social media",""
"2156","Follow us:","283:./lang/de/ocstyle/main.tpl.php","Folge uns:","Follow us:","Volg ons:","Follow us:","","Follow us:",""
"2157","Join discussions:","290:./lang/de/ocstyle/main.tpl.php","Diskutiere mit:","Join discussions:","Join discussions:","Join discussions:","","Join discussions:",""
"2158","Opencaching Forum","294:./lang/de/ocstyle/main.tpl.php","Opencaching-Forum","Opencaching Forum","Opencaching Forum","Opencaching Forum","","Opencaching Forum",""
"2159","Google+ Community","295:./lang/de/ocstyle/main.tpl.php","Google+ Community","Google+ Community","Google+ Community","Google+ Community","","Google+ Community",""
"2160","Facebook Group","296:./lang/de/ocstyle/main.tpl.php","Facebook-Gruppe","Facebook Group","Faceboek groep","Facebook Group","","Facebook Group",""
"2161","Only one account can be created per E-Mail address. First name, last name and country are optional.","67:./templates2/ocstyle/register.tpl","Pro E-Mail-Adresse kann nur ein Benutzeraccount eingerichtet werden. Die Angabe von Vorname, Nachname und Land sind freiwillig.","Only one account can be created per E-Mail address. First name, last name and country are optional.","Only one account can be created per E-Mail address. First name, last name and country are optional.","Only one account can be created per E-Mail address. First name, last name and country are optional.","","Only one account can be created per E-Mail address. First name, last name and country are optional.",""
"2162","Your log entries","18:./templates2/ocstyle/newlogs.tpl","Deine Logeinträge","Your log entries","Toon eigen logs","Your log entries","","Your log entries",""
"2163","There are no log entries yet for your geocaches.","195:./templates2/ocstyle/newlogs.tpl","Es gibt noch keine Logeinträge für deine Caches.","There are no log entries yet for your geocaches.","There are no log entries yet for your geocaches.","There are no log entries yet for your geocaches.","","There are no log entries yet for your geocaches.",""
"2164","Cache listing {occode} has been modified by {username}","554:./editcache.php","Das Cachelisting {occode} wurde von {username} verändert.","Cache listing {occode} has been modified by {username}","Cache listing {occode} has been modified by {username}","El listado del caché {occode} ha sido modificado por {username}","","Cache listing {occode} has been modified by {username}",""
"2165","The cache description of {occode} has been modified by {username}","209:./editdesc.php","Die Cachebeschreibung von {occode} wurde von {username} verändert.","The cache description of {occode} has been modified by {username}","The cache description of {occode} has been modified by {username}","La descripcion del caché {occode} ha sido modificada por {username}","","The cache description of {occode} has been modified by {username}",""
"2166","The modifications can be checked via vandalism restore function.","557:./editcache.php","Was geändert wurde, ist über die Vandalismus-Revertierfunktion einsehbar.","The modifications can be checked via vandalism restore function.","The modifications can be checked via vandalism restore function.","Las modificaciones pueden ser comprobadas mediante la funcion restauracion de desperfectos.","","The modifications can be checked via vandalism restore function.",""
"2167","OC Admins","10:./templates2/ocstyle/admins.tpl","OC-Admins","OC Admins","OC Admins","OC Admins","","OC Admins",""
"2168","Newest log entries for caches of %1","15:./templates2/ocstyle/newlogs.tpl","Neueste Logeinträge für Caches von %1","Newest log entries for caches of %1","Newest log entries for caches of %1","Newest log entries for caches of %1","","Newest log entries for caches of %1",""
"2169","Do you really want to delete this picture?","98:./templates2/ocstyle/res_logentry_logitem.tpl","Willst du dieses Bild wirklich löschen?","Do you really want to delete this picture?","Moet deze afbeelding werkelijk verwijderd worden?","Do you really want to delete this picture?","","Do you really want to delete this picture?",""
"2170","Nearby search at geocaching.com","106:./templates2/ocstyle/adminreports.tpl","Umkreissuche auf geocaching.com","Nearby search at geocaching.com","Nearby search at geocaching.com","Nearby search at geocaching.com","","Nearby search at geocaching.com",""
"2171","Please send me mailings about news and campaigns on %1. (max. 2-5 per year)","145:./templates2/ocstyle/myprofile.tpl","Bitte sendet mir Informationen zu Neuigkeiten und Aktionen auf %1 per Email zu. (max. 2-5 pro Jahr)","Please send me mailings about news and campaigns on %1. (max. 2-5 per year)","Please send me mailings about news and campaigns on %1. (max. 2-5 per year)","Please send me mailings about news and campaigns on %1. (max. 2-5 per year)","","Please send me mailings about news and campaigns on %1. (max. 2-5 per year)",""
"2172","Yes, I want to recieve mailings about news and campaigns on %1. (max. 2-5 per year)","149:./templates2/ocstyle/myprofile.tpl","Ja, ich möchte Informationen zu Neuigkeiten und Aktionen auf %1 per Email erhalten. (max. 2-5 pro Jahr)","Yes, I want to recieve mailings about news and campaigns on %1. (max. 2-5 per year)","Yes, I want to recieve mailings about news and campaigns on %1. (max. 2-5 per year)","Yes, I want to recieve mailings about news and campaigns on %1. (max. 2-5 per year)","","Yes, I want to recieve mailings about news and campaigns on %1. (max. 2-5 per year)",""
"2173","No, I dont't want any mailings about news and campaigns on %1.","151:./templates2/ocstyle/myprofile.tpl","Nein, ich möchte keine Informationen zu Neuigkeiten und Aktionen auf %1 per Email erhalten.","No, I dont't want any mailings about news and campaigns on %1.","No, I dont't want any mailings about news and campaigns on %1.","No, I dont't want any mailings about news and campaigns on %1.","","No, I dont't want any mailings about news and campaigns on %1.",""
"2174","Newsletter:","141:./templates2/ocstyle/myprofile.tpl","Newsletter:","Newsletter:","Newsletter:","Newsletter:","","Newsletter:",""
"2175","Disclose my e-mail address by default when sending e-mails to other users.","195:./templates2/ocstyle/myprofile.tpl","Wenn ich andere Benutzer anschreibe, wird standardmäßig meine E-Mail-Adresse mitgeschickt.","Disclose my e-mail address by default when sending e-mails to other users.","Disclose my e-mail address by default when sending e-mails to other users.","Disclose my e-mail address by default when sending e-mails to other users.","","Disclose my e-mail address by default when sending e-mails to other users.",""
"2176","Planned events","10:./templates2/ocstyle/newcaches.tpl","Geplante Events","Planned events","Planned events","Planned events","","Planned events",""
"2177","Another cache (<a href=""viewcache.php?wp=%1"">%1</a>) exists at these coords. Maybe you pressed ""submit cache"" twice. To publish a cache with identical coords, enter other coords first, then edit the listing and change coords.","30:./lang/de/ocstyle/newcache.inc.php","An diesen Koordinaten befindet sich bereits der Cache <a href=""viewcache.php?wp=%1"">%1</a>. Vielleicht hast du mehrfach auf ""Cache senden"" geklickt. Wenn du tatsächlich einen weiteren Cache mit identischen Koordinaten veröffentlichen möchtest, lege ihn zunächst mit abweichenden Koordinaten an, bearbeite dann das Listing und ändere die Koordinaten.","Another cache (<a href=""viewcache.php?wp=%1"">%1</a>) exists at these coords. Maybe you pressed ""submit cache"" twice. To publish a cache with identical coords, enter other coords first, then edit the listing and change coords.","Another cache (<a href=""viewcache.php?wp=%1"">%1</a>) exists at these coords. Maybe you pressed ""submit cache"" twice. To publish a cache with identical coords, enter other coords first, then edit the listing and change coords.","Another cache (<a href=""viewcache.php?wp=%1"">%1</a>) exists at these coords. Maybe you pressed ""submit cache"" twice. To publish a cache with identical coords, enter other coords first, then edit the listing and change coords.","","Another cache (<a href=""viewcache.php?wp=%1"">%1</a>) exists at these coords. Maybe you pressed ""submit cache"" twice. To publish a cache with identical coords, enter other coords first, then edit the listing and change coords.",""
"2178","GC waypoint is invalid, must be GCxxxxx","35:./lang/de/ocstyle/editcache.inc.php","Ungültiger GC-Wegpunkt, das Format ist GCxxxxx","GC waypoint is invalid, must be GCxxxxx","GC waypoint is invalid, must be GCxxxxx","GC waypoint is invalid, must be GCxxxxx","","GC waypoint is invalid, must be GCxxxxx",""
"2179","Safari caches list","2664:./templates2/ocstyle/map2.tpl","Safari-Cache-Liste","Safari caches list","Safari caches list","Safari caches list","","Safari caches list",""
"2180","Add to list","136:./templates2/ocstyle/viewcache.tpl","Merken","Add to list","Toevoegen aan lijst","Add to list","","Add to list",""
"2181","Add geocache to list","14:./templates2/ocstyle/addtolist.tpl","Geocache zu Liste hinzufügen","Add geocache to list","Add geocache to list","Add geocache to list","","Add geocache to list",""
"2182","Add the geocache <b>%1</b> to the following list:","19:./templates2/ocstyle/addtolist.tpl","Den Geocache <b>%1</b> zu folgender Liste hinzufügen:","Add the geocache <b>%1</b> to the following list:","Add the geocache <b>%1</b> to the following list:","Add the geocache <b>%1</b> to the following list:","","Add the geocache <b>%1</b> to the following list:",""
"2183","New cache list","25:./templates2/ocstyle/addtolist.tpl","Neue Cacheliste","New cache list","Nieuwe cache lijst","New cache list","","New cache list",""
